127	86o	-0.13	40.69	5.08	0.90
128	65s	-0.13	40.34	5.57	0.30
129	84s	-0.14	40.10	5.19	0.30
130	95o	-0.14	40.13	5.06	0.90
131	T3o	-0.14	40.15	4.87	0.90
132	92s	-0.15	39.97	4.88	0.30
133	76o	-0.15	39.65	5.33	0.90
134	74s	-0.16	39.10	5.48	0.30
135	T2o	-0.16	39.23	4.85	0.90
136	54s	-0.17	38.53	5.84	0.30
137	85o	-0.17	38.74	5.37	0.90
138	64s	-0.17	38.48	5.70	0.30
139	83s	-0.18	38.28	5.18	0.30
140	94o	-0.18	38.08	5.17	0.90
141	75o	-0.18	37.67	5.67	0.90
142	82s	-0.19	37.67	5.18	0.30
143	73s	-0.19	37.30	5.46	0.30
144	93o	-0.19	37.42	5.18	0.90
145	65o	-0.20	37.01	5.86	0.90
146	53s	-0.20	36.75	5.86	0.30
147	63s	-0.20	36.68	5.69	0.30
148	84o	-0.21	36.70	5.47	0.90
149	92o	-0.21	36.51	5.16	0.90
150	43s	-0.22	35.72	5.82	0.30
151	74o	-0.22	35.66	5.77	0.90
152	72s	-0.23	35.43	5.43	0.30
153	54o	-0.23	35.07	6.16	0.90
154	64o	-0.23	35.00	6.01	0.90
155	52s	-0.24	34.92	5.83	0.30
156	62s	-0.24	34.83	5.66	0.30
157	83o	-0.25	34.74	5.46	0.90
158	42s	-0.26	33.91	5.82	0.30
159	82o	-0.26	34.08	5.48	0.90
160	73o	-0.26	33.71	5.76	0.90
161	53o	-0.27	33.16	6.19	0.90
162	63o	-0.27	33.06	6.01	0.90
163	32s	-0.28	33.09	5.78	0.30
164	43o	-0.29	32.06	6.15	0.90
165	72o	-0.30	31.71	5.74	0.90
166	52o	-0.31	31.19	6.18	0.90
167	62o	-0.31	31.07	5.99	0.90
168	42o	-0.33	30.11	6.16	0.90
169	32o	-0.35	29.23	6.12	0.90
